name,student_id,dob,program_code,status,academic_history:grade,current_enrollments|semester|year,study_plan|semester|year
Tommy,S3785169,17/06/2000,BP001,0,COSC1000:HD COSC1001:D COSC1002:HD COSC1003:D,COSC1004|S2|2021 COSC1005|S2|2021 COSC1006|S2|2021 COSC1007|S2|2021,COSC1008|S1|2022 COSC1009|S1|2022 COSC1010|S1|2022 COSC1011|S1|2022 COSC1012|S1|2022 COSC1013|S1|2022 COSC1014|S1|2022 COSC1015|S1|2022
Tim,S0000010,13/12/2000,BP001,0,COSC1000:HD COSC1001:D COSC1002:HD COSC1003:D,COSC1004|S2|2021 COSC1005|S2|2021 COSC1006|S2|2021 COSC1007|S2|2021,COSC1008|S1|2022 COSC1009|S1|2022 COSC1010|S1|2022 COSC1011|S1|2022 COSC1012|S1|2022 COSC1013|S1|2022 COSC1014|S1|2022 COSC1015|S1|2022
Tony,S0000011,12/04/06/2000,BP001,0,COSC1000:D COSC1001:D COSC1002:D COSC1003:D,COSC1004|S2|2021 COSC1005|S2|2021 COSC1006|S2|2021 COSC1007|S2|2021,COSC1008|S1|2022 COSC1009|S1|2022 COSC1010|S1|2022 COSC1011|S1|2022 COSC1012|S1|2022 COSC1013|S1|2022 COSC1014|S1|2022 COSC1015|S1|2022
Harry,S0000012,17/01/2000,BP001,0,COSC1000:D COSC1001:D COSC1002:HD COSC1003:D,COSC1004|S2|2021 COSC1005|S2|2021 COSC1006|S2|2021 COSC1007|S2|2021,COSC1008|S1|2022 COSC1009|S1|2022 COSC1010|S1|2022 COSC1011|S1|2022 COSC1012|S1|2022 COSC1013|S1|2022 COSC1014|S1|2022 COSC1015|S1|2022
Jason,S0000013,26/011/2000,BP001,0,COSC1000:HD COSC1001:D COSC1002:HD COSC1003:D,COSC1004|S2|2021 COSC1005|S2|2021 COSC1006|S2|2021 COSC1007|S2|2021,COSC1008|S1|2022 COSC1009|S1|2022 COSC1010|S1|2022 COSC1011|S1|2022 COSC1012|S1|2022 COSC1013|S1|2022 COSC1014|S1|2022 COSC1015|S1|2022
Chris,S0000014,29/01/2000,BP001,0,COSC1000:P COSC1001:D COSC1002:P COSC1003:D,COSC1004|S2|2021 COSC1005|S2|2021 COSC1006|S2|2021 COSC1007|S2|2021,COSC1008|S1|2022 COSC1009|S1|2022 COSC1010|S1|2022 COSC1011|S1|2022 COSC1012|S1|2022 COSC1013|S1|2022 COSC1014|S1|2022 COSC1015|S1|2022
Kathy,S0000015,23/04/2000,BP001,0,COSC1000:HD COSC1001:D COSC1002:HD COSC1003:D,COSC1004|S2|2021 COSC1005|S2|2021 COSC1006|S2|2021 COSC1007|S2|2021,COSC1008|S1|2022 COSC1009|S1|2022 COSC1010|S1|2022 COSC1011|S1|2022 COSC1012|S1|2022 COSC1013|S1|2022 COSC1014|S1|2022 COSC1015|S1|2022
Viki,S00000106,17/08/2000,BP001,0,COSC1000:C COSC1001:D COSC1002:C COSC1003:D,COSC1004|S2|2021 COSC1005|S2|2021 COSC1006|S2|2021 COSC1007|S2|2021,COSC1008|S1|2022 COSC1009|S1|2022 COSC1010|S1|2022 COSC1011|S1|2022 COSC1012|S1|2022 COSC1013|S1|2022 COSC1014|S1|2022 COSC1015|S1|2022
Jennie,S0000017,27/07/2000,BP001,0,COSC1000:C COSC1001:D COSC1002:HD COSC1003:D,COSC1004|S2|2021 COSC1005|S2|2021 COSC1006|S2|2021 COSC1007|S2|2021,COSC1008|S1|2022 COSC1009|S1|2022 COSC1010|S1|2022 COSC1011|S1|2022 COSC1012|S1|2022 COSC1013|S1|2022 COSC1014|S1|2022 COSC1015|S1|2022
Emily,S0000001,12/12/2000,BP001,0,COSC1000:D COSC1001:C COSC1002:D COSC1003:HD,COSC1004|S2|2021 COSC1005|S2|2021 COSC1006|S2|2021 COSC1007|S2|2021,COSC1008|S1|2022 COSC1009|S1|2022 COSC1010|S1|2022 COSC1011|S1|2022 COSC1012|S1|2022 COSC1013|S1|2022 COSC1014|S1|2022 COSC1015|S1|2022
David,S0000002,10/02/2000,BP002,0,COSC2000:D COSC2001:D COSC2002:D COSC2003:D,COSC2004|S2|2021 COSC2005|S2|2021 COSC2006|S2|2021 COSC2007|S2|2021,COSC2008|S1|2022 COSC2009|S1|2022 COSC2010|S1|2022 COSC2011|S1|2022 COSC2012|S1|2022 COSC2013|S1|2022 COSC2014|S1|2022 COSC2015|S1|2022
Kevin,S0000003,26/09/2000,BP003,0,COSC3000:C COSC3001:C COSC3002:C COSC3003:C,COSC3004|S2|2021 COSC3005|S2|2021 COSC3006|S2|2021 COSC3007|S2|2021,COSC3008|S1|2022 COSC3009|S1|2022 COSC3010|S1|2022 COSC3011|S1|2022 COSC3012|S1|2022 COSC3013|S1|2022 COSC3014|S1|2022 COSC3015|S1|2022
